Algorithm,Size,RepeatNumber,TimeSeconds,AlgorithmName
0,2,0,4.871e-06,Standard Algorithm
0,2,1,1.271e-06,Standard Algorithm
0,2,2,9.8e-07,Standard Algorithm
1,2,0,2.002e-06,Divide And Conquer
1,2,1,1.021e-06,Divide And Conquer
1,2,2,1.055e-06,Divide And Conquer
2,2,0,1.79e-06,Strassen Algorithm
2,2,1,9.72e-07,Strassen Algorithm
2,2,2,1.006e-06,Strassen Algorithm
0,4,0,2.045e-06,Standard Algorithm
0,4,1,1.851e-06,Standard Algorithm
0,4,2,1.703e-06,Standard Algorithm
1,4,0,2.177e-06,Divide And Conquer
1,4,1,1.896e-06,Divide And Conquer
1,4,2,1.871e-06,Divide And Conquer
2,4,0,2.016e-06,Strassen Algorithm
2,4,1,1.889e-06,Strassen Algorithm
2,4,2,1.927e-06,Strassen Algorithm
0,8,0,8.152e-06,Standard Algorithm
0,8,1,8.969e-06,Standard Algorithm
0,8,2,5.923e-06,Standard Algorithm
1,8,0,7.525e-06,Divide And Conquer
1,8,1,7.233e-06,Divide And Conquer
1,8,2,7.376e-06,Divide And Conquer
2,8,0,7.388e-06,Strassen Algorithm
2,8,1,7.311e-06,Strassen Algorithm
2,8,2,7.897e-06,Strassen Algorithm
0,16,0,3.5149e-05,Standard Algorithm
0,16,1,3.8861e-05,Standard Algorithm
0,16,2,3.2747e-05,Standard Algorithm
1,16,0,4.8763e-05,Divide And Conquer
1,16,1,4.8395e-05,Divide And Conquer
1,16,2,4.8326e-05,Divide And Conquer
2,16,0,4.8611e-05,Strassen Algorithm
2,16,1,5.0241e-05,Strassen Algorithm
2,16,2,4.8417e-05,Strassen Algorithm
0,32,0,0.000268729,Standard Algorithm
0,32,1,0.000256284,Standard Algorithm
0,32,2,0.000262342,Standard Algorithm
1,32,0,0.000358151,Divide And Conquer
1,32,1,0.000353592,Divide And Conquer
1,32,2,0.000361078,Divide And Conquer
2,32,0,0.000363455,Strassen Algorithm
2,32,1,0.000327822,Strassen Algorithm
2,32,2,0.000336703,Strassen Algorithm
0,64,0,0.00223223,Standard Algorithm
0,64,1,0.00231639,Standard Algorithm
0,64,2,0.00222394,Standard Algorithm
1,64,0,0.00487281,Divide And Conquer
1,64,1,0.00380974,Divide And Conquer
1,64,2,0.00289018,Divide And Conquer
2,64,0,0.00297077,Strassen Algorithm
2,64,1,0.00290539,Strassen Algorithm
2,64,2,0.00337277,Strassen Algorithm
0,128,0,0.0186946,Standard Algorithm
0,128,1,0.0171549,Standard Algorithm
0,128,2,0.0172689,Standard Algorithm
1,128,0,0.0232809,Divide And Conquer
1,128,1,0.0246185,Divide And Conquer
1,128,2,0.0280283,Divide And Conquer
2,128,0,0.0222216,Strassen Algorithm
2,128,1,0.0207513,Strassen Algorithm
2,128,2,0.0225469,Strassen Algorithm
0,256,0,0.127385,Standard Algorithm
0,256,1,0.136166,Standard Algorithm
0,256,2,0.137591,Standard Algorithm
1,256,0,0.201676,Divide And Conquer
1,256,1,0.200193,Divide And Conquer
1,256,2,0.191959,Divide And Conquer
2,256,0,0.17703,Strassen Algorithm
2,256,1,0.164607,Strassen Algorithm
2,256,2,0.158201,Strassen Algorithm
0,512,0,1.03627,Standard Algorithm
0,512,1,1.03812,Standard Algorithm
0,512,2,1.04176,Standard Algorithm
1,512,0,1.53421,Divide And Conquer
1,512,1,1.55218,Divide And Conquer
1,512,2,1.55198,Divide And Conquer
2,512,0,1.16189,Strassen Algorithm
2,512,1,1.13771,Strassen Algorithm
2,512,2,1.18546,Strassen Algorithm
0,1024,0,8.77848,Standard Algorithm
0,1024,1,8.70438,Standard Algorithm
0,1024,2,8.70802,Standard Algorithm
1,1024,0,12.8607,Divide And Conquer
1,1024,1,12.7522,Divide And Conquer
1,1024,2,12.9367,Divide And Conquer
2,1024,0,8.50419,Strassen Algorithm
2,1024,1,9.00605,Strassen Algorithm
2,1024,2,7.96442,Strassen Algorithm
0,2048,0,70.0113,Standard Algorithm
0,2048,1,69.8515,Standard Algorithm
0,2048,2,68.5578,Standard Algorithm
1,2048,0,99.6454,Divide And Conquer
1,2048,1,103.26,Divide And Conquer
1,2048,2,104.538,Divide And Conquer
2,2048,0,58.3839,Strassen Algorithm
2,2048,1,58.2257,Strassen Algorithm
2,2048,2,58.2986,Strassen Algorithm
